model,benchmark,language,trigger,n_wait,n_samples,accuracy,scaling,performance,avg_thinking_tokens,extraction_failures,cuda_available,mps_available,run_dir,timestamp_utc
vinallama-7b,vi_gsm8k,vi,Khoan đã,1,100,0.19,-0.025,0.25,261.3,0,True,False,experiments/results/vi_20260716_155250,20260716_155250
vinallama-7b,vi_gsm8k,vi,Khoan đã,2,100,0.2,-0.025,0.25,289.4,0,True,False,experiments/results/vi_20260716_155250,20260716_155250
vinallama-7b,vi_gsm8k,vi,"Không, chờ đã",0,100,0.25,-0.04,0.25,186.7,0,True,False,experiments/results/vi_20260716_155653,20260716_155653
vinallama-7b,vi_gsm8k,vi,"Không, chờ đã",1,100,0.2,-0.04,0.25,285.9,0,True,False,experiments/results/vi_20260716_155653,20260716_155653
vinallama-7b,vi_gsm8k,vi,"Không, chờ đã",2,100,0.17,-0.04,0.25,339.3,0,True,False,experiments/results/vi_20260716_155653,20260716_155653
vinallama-7b,vimmlu,vi,Khoan đã,0,100,0.43,-0.08,0.43,169.6,0,True,False,experiments/results/vi_20260716_175300,20260716_175300
vinallama-7b,vimmlu,vi,Khoan đã,1,100,0.25,-0.08,0.43,228.3,0,True,False,experiments/results/vi_20260716_175300,20260716_175300
vinallama-7b,vimmlu,vi,Khoan đã,2,100,0.27,-0.08,0.43,250.3,0,True,False,experiments/results/vi_20260716_175300,20260716_175300
vistral-7b,vimmlu,vi,Để tôi kiểm tra lại,0,100,0.43,-0.075,0.43,71.0,0,True,False,experiments/results/vi_20260716_180554,20260716_180554
vistral-7b,vimmlu,vi,Để tôi kiểm tra lại,1,100,0.26,-0.075,0.43,183.2,0,True,False,experiments/results/vi_20260716_180554,20260716_180554
vistral-7b,vimmlu,vi,Để tôi kiểm tra lại,2,100,0.28,-0.075,0.43,252.4,0,True,False,experiments/results/vi_20260716_180554,20260716_180554
vinallama-7b,vimmlu,vi,"Không, chờ đã",0,100,0.43,-0.085,0.43,169.6,0,True,False,experiments/results/vi_20260716_180928,20260716_180928
vinallama-7b,vimmlu,vi,"Không, chờ đã",1,100,0.24,-0.085,0.43,273.2,0,True,False,experiments/results/vi_20260716_180928,20260716_180928
vinallama-7b,vimmlu,vi,"Không, chờ đã",2,100,0.26,-0.085,0.43,303.5,0,True,False,experiments/results/vi_20260716_180928,20260716_180928
vinallama-7b,vi_gsm8k,vi,Để tôi kiểm tra lại,0,100,0.25,-0.035,0.25,186.7,0,True,False,experiments/results/vi_20260716_184109,20260716_184109
vinallama-7b,vi_gsm8k,vi,Để tôi kiểm tra lại,1,100,0.2,-0.035,0.25,277.2,0,True,False,experiments/results/vi_20260716_184109,20260716_184109
vinallama-7b,vi_gsm8k,vi,Để tôi kiểm tra lại,2,100,0.18,-0.035,0.25,332.1,0,True,False,experiments/results/vi_20260716_184109,20260716_184109
vistral-7b,vnhsge,vi,Để tôi kiểm tra lại,0,100,0.5,-0.115,0.5,43.9,0,True,False,experiments/results/vi_20260716_193403,20260716_193403
vistral-7b,vnhsge,vi,Để tôi kiểm tra lại,1,100,0.22,-0.115,0.5,157.8,0,True,False,experiments/results/vi_20260716_193403,20260716_193403
