model,benchmark,language,n_wait,n_samples,accuracy,scaling,performance,avg_thinking_tokens,extraction_failures,cuda_available,mps_available,run_dir,timestamp_utc
greenmind-14b-r1,vimmlu,vi,0,100,0.55,-0.05,0.55,136.5,0,True,False,experiments/results/vi_20260628_001656,20260628_001656
greenmind-14b-r1,vimmlu,vi,1,100,0.48,-0.05,0.55,159.1,0,True,False,experiments/results/vi_20260628_001656,20260628_001656
greenmind-14b-r1,vimmlu,vi,2,100,0.45,-0.05,0.55,153.5,0,True,False,experiments/results/vi_20260628_001656,20260628_001656
