model,benchmark,n_wait,n_samples,accuracy,avg_thinking_tokens,extraction_failures,acc_nw0,acc_nw2,bf_delta_pp
r1-distill-7B,vi_gsm8k,0,100,53.0,191.0,0,53.0,57.0,4.0
r1-distill-7B,vi_gsm8k,1,100,56.0,329.1,0,53.0,57.0,4.0
r1-distill-7B,vi_gsm8k,2,100,57.0,426.1,0,53.0,57.0,4.0
r1-distill-7B,vimmlu,0,100,27.0,539.8,0,27.0,31.0,4.0
r1-distill-7B,vimmlu,1,100,23.0,741.0,0,27.0,31.0,4.0
r1-distill-7B,vimmlu,2,100,31.0,870.6,0,27.0,31.0,4.0
r1-distill-7B,vnhsge,0,100,22.0,540.9,0,22.0,25.0,3.0
r1-distill-7B,vnhsge,1,100,21.0,676.3,0,22.0,25.0,3.0
r1-distill-7B,vnhsge,2,100,25.0,801.0,0,22.0,25.0,3.0
