model,benchmark,language,n_wait,n_samples,accuracy,scaling,performance,avg_thinking_tokens,extraction_failures,cuda_available,mps_available,run_dir,timestamp_utc
r1-distill-7B,vimmlu,vi,0,100,0.27,0.02,0.31,539.8,0,True,False,experiments/results/vi_20260627_142812,20260627_142812
r1-distill-7B,vimmlu,vi,1,100,0.23,0.02,0.31,741.0,0,True,False,experiments/results/vi_20260627_142812,20260627_142812
r1-distill-7B,vimmlu,vi,2,100,0.31,0.02,0.31,870.6,0,True,False,experiments/results/vi_20260627_142812,20260627_142812
