model,benchmark,language,n_wait,n_samples,accuracy,scaling,performance,avg_thinking_tokens,extraction_failures,cuda_available,mps_available,run_dir,timestamp_utc
vistral-7b,vi_gsm8k,vi,0,100,0.56,-0.025,0.56,229.2,0,True,False,experiments/results/vi_20260622_111045,20260622_111045
vistral-7b,vi_gsm8k,vi,1,100,0.51,-0.025,0.56,268.9,0,True,False,experiments/results/vi_20260622_111045,20260622_111045
vistral-7b,vi_gsm8k,vi,2,100,0.51,-0.025,0.56,323.8,0,True,False,experiments/results/vi_20260622_111045,20260622_111045
